bench,node,strategy,throughput,tpp
matrix_multiply,2,ticket-ls,0.0627352572145546,0.000361924939702717
water_spatial,1,clh_spin,0.0137665198237885,0.000112907037140103
s_raytrace_ll,3,spinlock,67169,346.446126758195
fmm,4,mcs-timepub,0.0700770847932726,0.000450853364698733
dedup,1,mutexee,0.106157112526539,0.000781693971640971
s_raytrace,1,ticket-ls,0.0541711809317443,0.000345270263164235
lu_ncb,4,ticket,0.0808407437348424,0.000403520817592575
bodytrack,1,pthread,0.0261233019853709,0.000227139410892859
volrend,4,hticket-ls,0.0705716302046577,0.000496564118186544
bodytrack,2,ticket-ls,0.036036036036036,0.000301992622337148
p_raytrace,4,ticket-ls,0.0135171668018383,0.000117489891296642
lu_cb,2,c-ptl-tkt,0.0612745098039216,0.000397274248622183
memcached,3,ticket-ls,49236,259.147465787426
water_nsquared,4,c-bo-mcs_stp,0.0605693519079346,0.000268957140532285
radiosity,3,ttas,0.0512820512820513,0.000377304107802865
ssl_proxy,1,pthread,41133,283.782045481915
p_raytrace,3,mcs-timepub,0.0135722041259501,0.000118259014231422
kmeans,3,hticket-ls,0.0401929260450161,0.000191185371819269
barnes,3,pthreadadapt,0.119331742243437,0.000622668390192845
x264,2,pthreadadapt,0.117924528301887,0.000742013862843172
kmeans,2,pthreadadapt,0.0318775900541919,0.000175526103182326
lu_ncb,3,pthread,0.0641848523748395,0.000352643689034181
bodytrack,1,hmcs,0.0262536098713573,0.000228972645012013
vips,3,mcs_stp,0.219298245614035,0.00104865633582108
streamcluster,1,pthreadadapt,0.529100529100529,0.0037031846817973
lu_cb,4,clh_stp,0.0868055555555556,0.000500347928690391
radiosity,4,spinlock,0.0280662363177098,0.000162222018684779
s_raytrace,4,ticket,0.0547045951859956,0.000242313261070908
linear_regression,3,c-tkt-tkt,2.08333333333333,0.0114525614690182
s_raytrace,4,hticket-ls,0.118906064209275,0.000487664882306877
streamcluster,3,mcs-timepub,0.033955857385399,0.000312613552379082
blackscholes,3,spinlock-ls,0.0337609723160027,0.000255537668461071
ferret,4,alock-ls,0.0121506682867558,5.46170500244381e-05
freqmine,2,spinlock,0.0251698968034231,0.000153451484866242
s_raytrace_ll,3,hticket-ls,474823,2076.2100252842
histogram,4,malth_stp,0.232018561484919,0.00204110972563985
rocksdb,1,ttas,2507948,16778.0166710044
linear_regression,3,c-bo-mcs_stp,2.32558139534884,0.0125687256346613
water_nsquared,2,mcs_stp,0.0367376928728876,0.000202142026894295
memcached,3,malth_stp,46991,248.261577243929
radiosity_ll,1,ttas-ls,180249,1204.71915137254
lu_ncb,2,mcs_spin,0.048030739673391,0.0002892911408079
bodytrack,2,mcs-timepub,0.0361532899493854,0.000303529240717051
p_raytrace,1,alock-ls,0.0135556459265284,0.000117121871550764
vips,1,ttas,0.0869565217391304,0.000569849599919907
volrend,2,ahmcs,0.102880658436214,0.000732704098093299
lu_ncb,1,c-ptl-tkt,0.0378357926598562,0.000245690437641389
pca,1,malth_stp,0.0836120401337793,0.000608890522555692
rocksdb,2,ticket,5078491,28524.7465828602
string_match,3,hticket-ls,0.0942507068803016,0.000469455439319041
water_spatial,4,mutexee,0.116550116550117,0.000668649734229684
bodytrack,4,mcs-timepub,0.0451263537906137,0.000328437942805166
barnes,3,ttas-ls,0.112233445566779,0.000600657651172536
s_raytrace,1,spinlock-ls,0.0539956803455724,0.000344210734339728
water_spatial,1,mutexee,0.047438330170778,0.000338393238888198
canneal,2,malth_spin,0.0127959053103007,0.000103923148327161
fmm,4,spinlock-ls,0.0683526999316473,0.000446364317085857
ssl_proxy,3,ahmcs,96244,483.211107609739
barnes,1,mcs-timepub,0.0505561172901921,0.00034272202875122
pca,3,pthread,0.0627352572145546,0.000373748655397165
dedup,1,ttas,0.102564102564103,0.000770156329481697
freqmine,1,ttas-ls,0.0165207335205683,0.00011223796718225
pca_ll,4,partitioned,698917,2414.20404212555
canneal,1,partitioned,0.0111831804965332,9.1834923024182e-05
lu_ncb,1,mcs-timepub,0.0332115576220525,0.00022083745326674
bodytrack,3,mcs-ls,0.0421407501053519,0.000333716055814421
lu_cb,3,c-tkt-tkt,0.0769822940723634,0.000464763829850869
streamcluster_ll,4,malth_spin,2353,17.9390498785409
p_raytrace,3,pthreadadapt,0.0135025654874426,0.000116981209075594
histogram,1,clh-ls,0.826446280991736,0.00605084498416476
bodytrack,2,ticket,0.0364166059723234,0.000304710048474551
fmm,1,mcs-ls,0.0426075841499787,0.000314996780638403
matrix_multiply,3,backoff,0.0912408759124088,0.00045428184490895
canneal,4,ttas,0.0137174211248285,0.000110367167130857
ssl_proxy,4,c-bo-mcs_stp,10906,75.5408019414582
bodytrack,3,spinlock-ls,0.0427715996578272,0.000320173287516472
radiosity_ll,4,mutexee,153804,703.265961749125
lu_ncb,1,pthread,0.0345423143350604,0.000230067648253846
x264,2,clh-ls,0.118203309692671,0.000743472662429907
matrix_multiply,2,malth_spin,0.0623441396508728,0.000358725959643509
s_raytrace,4,ttas-ls,0.0397614314115308,0.000176368407424394
water_spatial,1,backoff,0.0473709142586452,0.000340963111360894
s_raytrace_ll,2,clh_stp,6463,63.9862471645271
s_raytrace,2,spinlock,0.043010752688172,0.000243634339103223
radiosity_ll,2,c-bo-mcs_spin,327575,1811.96582236684
pca,4,ticket-ls,0.0651041666666667,0.000364870181309386
s_raytrace,2,malth_stp,0.0645161290322581,0.000366912845849925
kmeans,2,c-tkt-tkt,0.0318268618714195,0.000175085326030262
pca_ll,1,alock-ls,358341,2207.95990059267
lu_cb,2,c-bo-mcs_spin,0.0642260757867694,0.000411141080102655
freqmine,2,alock-ls,0.0250375563345018,0.000151829948898851
matrix_multiply,1,c-tkt-tkt,0.0308166409861325,0.000211579247710731
radiosity,2,ttas-ls,0.051413881748072,0.000403042587841661
swaptions,2,malth_spin,0.0668449197860962,0.000368112836597086
radiosity_ll,1,ahmcs,240249,1562.99071363012
string_match,1,partitioned,0.0353232073472271,0.000240496198394222
blackscholes,4,clh_stp,0.0353232073472271,0.000267347519525252
lu_ncb,3,mcs-ls,0.0715819613457409,0.000380862230789808
ssl_proxy,2,ticket-ls,37335,215.625285287673
linear_regression,4,malth_stp,2.22222222222222,0.0117222156089389
memcached,1,ttas,135248,894.27357318178
rocksdb,2,mutexee,4900292,27446.1145156734
sqlite,4,mcs_stp,587,5.83429394602153
